Datas_of_area_pull_fhv_01,Freq
0,11843
1,923
2,14
3,10259
4,54439
5,919
6,1932
7,82176
8,180
9,6088
10,14859
11,7357
12,1425
13,75996
14,43012
15,4342
16,15003
17,86340
18,18827
19,4312
20,12514
21,18389
22,22620
23,5220
24,19610
25,54820
26,34487
27,105
28,13022
29,11864
30,118
31,1543
32,10644
33,50082
34,8145
35,36047
36,84960
37,102976
38,4667
39,50053
40,29742
41,60488
42,61710
43,20852
44,1038
45,32214
46,605
47,11901
48,149992
49,71996
50,87787
51,14811
52,18588
53,7444
54,8177
55,10598
56,19880
57,1664
58,1300
59,521
60,7618
61,133850
62,35339
63,16877
64,4095
65,46658
66,35726
67,12608
68,147784
69,22549
70,18649
71,31584
72,38061
73,7530
74,53009
75,56483
76,52898
77,16685
78,14561
79,221096
80,83023
81,18574
82,42346
83,12845
84,1484
85,20347
86,2317
87,79751
88,31329
89,64602
90,102911
91,36776
92,31974
93,2036
94,7990
95,42494
96,617
97,63938
98,6537
99,180
100,86619
101,2954
102,19325
105,3
106,27143
107,129421
108,8711
109,2217
110,6
111,350
112,93402
113,104538
114,97552
115,2434
116,36864
117,2687
118,4070
119,13191
120,414
121,15579
122,5000
123,23253
124,6484
125,51528
126,9503
127,21663
128,1403
129,58089
130,28871
131,9770
132,179724
133,15746
134,13122
135,12296
136,11920
137,86954
138,166858
139,7658
140,94568
141,108474
142,109673
143,77395
144,120129
145,51986
146,18965
147,7640
148,144193
149,16684
150,8303
151,44440
152,17898
153,4537
154,562
155,19467
156,4311
157,19916
158,100138
159,15501
160,15683
161,197983
162,141241
163,126352
164,139398
165,25160
166,51533
167,13757
168,20698
169,18543
170,160541
171,14219
172,2231
173,19228
174,16838
175,5380
176,1244
177,29386
178,8818
179,24752
180,8328
181,121501
182,9569
183,4944
184,383
185,14166
186,103104
187,3570
188,59160
189,43888
190,5230
191,11976
192,8215
193,6656
194,363
195,18205
196,15949
197,21273
198,54691
199,4
200,14017
201,1040
202,4588
203,7682
204,726
205,16302
206,6236
207,217
208,11363
209,26651
210,20094
211,88292
212,8552
213,15734
214,3008
215,13145
216,25991
217,9463
218,9106
219,8427
220,19745
221,3653
222,7090
223,43603
224,41382
225,77147
226,50301
227,14870
228,35281
229,101267
230,168154
231,172622
232,58803
233,78037
234,195734
235,20177
236,128280
237,129893
238,93135
239,115258
240,2168
241,18037
242,16082
243,38034
244,55075
245,3553
246,129984
247,19409
248,9120
249,138542
250,9112
251,3078
252,7603
253,246
254,23158
255,127029
256,99416
257,19222
258,16882
259,12934
260,29004
261,42867
262,70907
263,83620
264,244
265,26977
