queens,freq
2,1
7,48067
8,12
9,144
10,391
15,69
16,169
19,112
27,1
28,692
30,1
38,73
53,168
56,1832
57,101
64,53
70,895
73,132
82,45424
83,5698
86,39
92,7083
93,271
95,24131
96,43
98,93
101,46
102,299
117,115
121,975
122,146
124,117
129,26414
130,12476
131,343
132,156
134,7466
135,501
138,142
139,109
145,11527
146,3953
157,557
160,299
171,251
173,2818
175,99
179,6543
180,168
191,341
192,435
193,2413
196,9600
197,702
198,451
201,13
203,81
205,378
207,110
215,465
216,646
218,233
219,94
223,18964
226,10113
252,60
253,13
258,383
260,20452
