brooklyn,freq
11,293
14,1399
17,8405
21,461
22,563
25,22894
26,1095
29,562
33,23633
34,449
35,1589
36,3130
37,2678
39,1221
40,6755
49,12254
52,8605
54,376
55,1687
61,9217
62,1624
63,317
65,22653
66,15728
67,384
71,1062
72,1036
76,2359
77,590
80,6822
85,893
89,2374
91,1271
97,28963
106,2734
108,476
111,40
112,11105
123,771
133,607
149,804
150,260
154,27
155,774
165,856
177,1485
178,231
181,28568
188,3235
189,3366
190,641
195,938
210,3342
217,678
222,388
225,3359
227,463
228,1992
255,28342
256,10258
257,573
