Datas_of_area_pull_green_05,Freq
1,29
2,1
3,166
4,2
6,5
7,55278
8,29
9,31
10,147
11,46
13,1
14,952
15,21
16,136
17,12576
18,1121
19,41
20,966
21,86
22,126
23,38
24,3549
25,26901
26,349
27,2
28,682
29,305
31,547
32,235
33,27948
34,841
35,710
36,4240
37,3885
38,14
39,314
40,9063
41,60066
42,37460
43,9345
44,1
45,4
46,21
47,878
48,1
49,17191
51,241
52,11009
53,203
54,646
55,1805
56,1794
57,140
58,6
59,42
60,389
61,12750
62,1727
63,137
64,25
65,20732
66,23290
67,71
68,5
69,3203
70,1192
71,311
72,298
73,73
74,63347
75,55764
76,1087
77,230
78,1117
80,9909
81,125
82,47591
83,7554
85,916
86,5
89,2129
91,317
92,8160
93,2426
94,627
95,27579
96,51
97,32367
98,35
101,24
102,191
106,3780
108,106
109,2
111,78
112,16686
113,1
115,14
116,16031
117,33
118,13
119,1286
120,158
121,826
122,100
123,148
124,55
126,577
127,3374
128,162
129,30028
130,14550
131,169
132,231
133,361
134,8817
135,380
136,746
138,178
139,18
140,2
141,1
142,1
143,2
144,1
145,16489
146,6462
147,510
148,3
149,308
150,91
151,3
152,8734
153,531
154,12
155,103
156,17
157,527
158,1
159,3454
160,246
161,1
163,2
164,1
165,173
166,45614
167,1166
168,3150
169,1158
170,1
171,117
172,1
173,3262
174,1514
175,18
176,1
177,1191
178,58
179,6119
180,96
181,34255
182,1835
183,226
184,205
185,652
186,1
187,51
188,3530
189,4909
190,1470
191,137
192,599
193,2767
194,182
195,1798
196,9603
197,689
198,539
200,123
201,7
202,119
203,64
205,79
206,58
207,273
208,420
210,3505
211,1
212,1664
213,566
214,7
215,152
216,765
217,1072
218,66
219,83
220,852
221,17
222,38
223,19484
225,4326
226,12644
227,252
228,2164
229,4
231,2
232,1
235,920
236,2803
237,1
238,4
239,1
240,81
241,672
242,1895
243,5917
244,23758
245,15
247,6201
248,546
249,1
250,851
251,14
252,59
253,222
254,303
255,41020
256,18162
257,634
258,282
259,84
260,22275
262,45
263,735
264,1330
265,337
