Datas_of_area_pull_yellow_11,Freq
1,679
2,9
3,24
4,20589
5,3
6,50
7,14723
8,79
9,32
10,2412
11,67
12,3515
13,79954
14,366
15,37
16,40
17,1898
18,92
19,75
20,63
21,60
22,149
23,10
24,27091
25,8859
26,238
27,3
28,554
29,50
30,1
31,16
32,41
33,9249
34,269
35,123
36,966
37,1858
38,42
39,155
40,4652
41,30670
42,12854
43,133158
44,4
45,20807
46,4
47,100
48,287891
49,2788
50,80779
51,50
52,5051
53,83
54,382
55,45
56,304
57,21
58,7
59,5
60,75
61,1402
62,335
63,73
64,35
65,11926
66,4090
67,63
68,217719
69,370
70,1091
71,86
72,72
73,27
74,32282
75,60280
76,274
77,57
78,90
79,255396
80,3854
81,20
82,2551
83,1014
84,3
85,155
86,17
87,68083
88,34878
89,683
90,166659
91,148
92,394
93,1009
94,61
95,1243
96,15
97,8227
98,32
100,191137
101,36
102,76
105,16
106,1413
107,216918
108,35
109,4
111,15
112,3790
113,151750
114,129039
115,4
116,9447
117,12
118,6
119,490
120,37
121,70
122,18
123,121
124,99
125,52763
126,70
127,728
128,31
129,4612
130,709
131,78
132,211808
133,381
134,466
135,166
136,90
137,110354
138,270023
139,39
140,159409
141,215224
142,289032
143,105253
144,97799
145,10917
146,9674
147,71
148,125490
149,60
150,37
151,80326
152,8055
153,79
154,20
155,74
156,11
157,443
158,97358
159,411
160,128
161,361251
162,322591
163,264916
164,222525
165,132
166,46213
167,161
168,1757
169,151
170,287183
171,75
172,6
173,292
174,84
175,42
176,2
177,183
178,93
179,4987
180,75
181,9099
182,62
183,11
184,8
185,49
186,324990
187,1
188,889
189,2182
190,331
191,62
192,71
193,4258
194,469
195,536
196,693
197,319
198,228
200,60
201,6
202,397
203,66
204,1
205,52
206,6
207,503
208,41
209,16765
210,90
211,76017
212,95
213,103
214,17
215,701
216,761
217,785
218,110
219,617
220,185
221,8
222,37
223,4510
224,23826
225,762
226,14658
227,115
228,830
229,173558
230,320586
231,158185
232,15425
233,116820
234,297109
235,155
236,357207
237,398615
238,180339
239,245957
240,24
241,58
242,111
243,1523
244,7789
245,4
246,126103
247,1080
248,60
249,185805
250,97
251,3
252,73
253,18
254,93
255,9101
256,7805
257,253
258,108
259,41
260,5061
261,55513
262,111369
263,166790
264,153087
265,4170
