Datas_of_area_pull_fhv_07,Freq
1,2826
2,31
3,15676
4,63526
5,1943
6,4231
7,119372
8,1102
9,7950
10,24385
11,10593
12,5517
13,89891
14,57242
15,8336
16,21152
17,115022
18,32879
19,6232
20,21567
21,24638
22,30098
23,12245
24,23341
25,72050
26,36717
27,2116
28,18856
29,19655
30,412
31,7087
32,17493
33,72140
34,10104
35,51568
36,105978
37,135557
38,7188
39,77037
40,34553
41,79042
42,87341
43,61717
44,2465
45,38670
46,2141
47,20825
48,213722
49,91524
50,88172
51,24709
52,16361
53,11738
54,9275
55,25101
56,28339
57,1684
58,2088
59,1296
60,13815
61,185871
62,46135
63,26041
64,6507
65,66755
66,52257
67,15927
68,166461
69,38193
70,25351
71,46521
72,57382
73,9339
74,81724
75,70111
76,85035
77,25025
78,24962
79,247944
80,111533
81,21581
82,63413
83,17968
84,3552
85,30076
86,6578
87,109613
88,35025
89,85852
90,121060
91,54692
92,45829
93,8459
94,12608
95,63043
96,2141
97,86181
98,9475
99,1342
100,110058
101,6797
102,22831
105,6
106,28568
107,148611
108,13087
109,5182
110,49
111,1071
112,117683
113,105654
114,109935
115,4962
116,51912
117,7965
118,10162
119,24284
120,4513
121,15723
122,8003
123,23580
124,10139
125,60663
126,17791
127,36223
128,3735
129,82600
130,50764
131,13259
132,217823
133,19745
134,19713
135,15943
136,19668
137,106134
138,189273
139,12170
140,94444
141,105094
142,117638
143,77312
144,137370
145,79059
146,29031
147,14969
148,184931
149,22789
150,15643
151,52617
152,28820
153,6299
154,2088
155,30447
156,8161
157,25323
158,108354
159,26581
160,21344
161,227963
162,145026
163,125846
164,166989
165,28290
166,61620
167,24640
168,33085
169,33171
170,164517
171,18642
172,4229
173,23147
174,27236
175,6937
176,2600
177,45298
178,9532
179,38744
180,12527
181,138356
182,16403
183,7779
184,2607
185,21764
186,99905
187,5301
188,85193
189,48179
190,12939
191,19609
192,12063
193,10917
194,2119
195,31861
196,22660
197,31078
198,66351
199,4
200,15193
201,6269
202,6793
203,12986
204,1708
205,27445
206,18551
207,164
208,19625
209,30713
210,30049
211,91837
212,14625
213,30635
214,6570
215,21334
216,42303
217,13185
218,14189
219,13848
220,31769
221,9860
222,10669
223,64809
224,47262
225,114397
226,65748
227,21287
228,46073
229,116657
230,170585
231,180751
232,71829
233,114357
234,201667
235,32361
236,103877
237,127653
238,95833
239,111036
240,7904
241,28044
242,26892
243,60953
244,78597
245,8487
246,163845
247,37532
248,15314
249,148949
250,15306
251,7694
252,13436
253,3055
254,30784
255,164007
256,116961
257,21512
258,24318
259,22804
260,42326
261,56837
262,69920
263,87958
264,347
265,25197
