Datas_of_area_pull_green_07,Freq
1,28
2,1
3,242
6,7
7,47744
8,52
9,62
10,205
11,82
14,1015
15,39
16,138
17,9763
18,904
19,62
20,791
21,218
22,366
23,13
24,2600
25,23881
26,656
27,12
28,756
29,365
31,691
32,284
33,24425
34,592
35,918
36,3949
37,3653
38,28
39,472
40,7230
41,50872
42,32714
43,7305
45,1
46,18
47,641
48,4
49,13665
51,334
52,8281
53,191
54,508
55,2987
56,1698
57,236
58,11
59,33
60,394
61,10757
62,1540
63,168
64,34
65,19654
66,20287
67,127
68,1
69,2598
70,1051
71,589
72,409
73,54
74,60144
75,45708
76,1096
77,294
78,951
79,1
80,8126
81,176
82,39586
83,5535
84,1
85,829
86,14
89,1855
91,585
92,7311
93,2171
94,450
95,26067
96,42
97,29279
98,91
101,32
102,173
106,3064
108,194
109,1
111,65
112,13544
114,1
115,17
116,14393
117,47
118,13
119,1019
120,145
121,757
122,164
123,299
124,68
126,555
127,3482
128,162
129,25988
130,12869
131,212
132,203
133,401
134,6624
135,351
136,673
138,144
139,28
140,3
142,4
144,1
145,14675
146,3961
147,438
149,314
150,169
152,7657
153,457
154,23
155,215
156,19
157,462
158,1
159,2659
160,255
162,1
164,2
165,312
166,30411
167,1037
168,2680
169,885
171,135
172,1
173,3043
174,1196
175,27
176,2
177,1057
178,120
179,4788
180,119
181,29730
182,1480
183,234
184,167
185,628
187,15
188,3045
189,4103
190,1400
191,196
192,720
193,2654
194,236
195,1732
196,8720
197,597
198,435
200,117
201,15
202,88
203,63
204,1
205,179
206,61
207,148
208,408
210,2835
212,1473
213,753
214,2
215,265
216,751
217,714
218,129
219,95
220,916
221,22
222,111
223,16194
225,3629
226,10902
227,274
228,1950
230,3
231,1
233,1
234,2
235,811
236,1782
237,1
238,4
239,1
240,61
241,676
242,1925
243,5212
244,21471
245,13
247,4933
248,479
250,791
251,2
252,103
253,227
254,365
255,36538
256,14020
257,644
258,297
259,144
260,21384
262,34
263,606
264,1169
265,361
