bronx,freq
3,28
18,86
20,50
31,63
32,25
46,5
47,87
51,54
58,5
59,2
60,51
69,345
78,76
81,46
94,50
119,241
126,70
136,76
147,51
159,404
167,135
168,1705
169,127
174,64
182,94
183,12
184,2
185,44
199,3
200,60
208,40
212,89
213,75
220,138
235,127
240,21
241,71
242,72
247,1462
248,64
250,68
254,69
259,26
