brooklyn,freq
11,66
14,375
17,2223
21,63
22,124
25,9948
26,207
29,54
33,10624
34,297
35,78
36,1176
37,2246
39,121
40,5447
49,3283
52,5393
54,477
55,40
61,1684
62,392
63,103
65,13511
66,4923
67,62
71,98
72,77
76,284
77,53
80,4616
85,195
89,725
91,141
97,8866
106,1589
108,33
111,15
112,4911
123,67
133,362
149,59
150,38
154,10
155,43
165,159
177,177
178,128
181,9951
188,1024
189,2368
190,455
195,886
210,40
217,827
222,21
225,871
227,98
228,885
255,11757
256,8623
257,321
