manhattan,freq
4,21388
12,5266
13,85567
24,25356
41,29854
42,13609
43,122414
45,21978
48,283327
50,89267
68,221230
74,31584
75,55980
79,259301
87,73641
88,36248
90,170288
100,182758
103,0
104,0
105,13
107,213091
113,146800
114,130723
116,9183
120,44
125,58345
127,702
128,52
137,108026
140,146837
141,199823
142,250549
143,95010
144,104603
148,142284
151,75533
152,8135
153,71
158,110790
161,311886
162,294596
163,228171
164,219363
166,42905
170,281424
186,317304
194,514
202,447
209,19751
211,79070
224,23280
229,161241
230,294291
231,165378
232,17892
233,111770
234,291930
236,318693
237,349768
238,162692
239,221375
243,1513
244,7637
246,136520
249,188992
261,57709
262,102503
263,155171
