queens,freq
2,7
7,15081
8,110
9,18
10,2302
15,18
16,38
19,93
27,2
28,628
30,4
38,25
53,66
56,360
57,55
64,43
70,1205
73,14
82,2521
83,1127
86,18
92,533
93,2445
95,1280
96,41
98,53
101,38
102,54
117,25
121,71
122,14
124,98
129,5187
130,747
131,58
132,226566
134,491
135,157
138,252210
139,29
145,10961
146,9922
157,422
160,155
171,59
173,278
175,32
179,5360
180,80
191,57
192,92
193,4366
196,703
197,336
198,255
201,4
203,36
205,35
207,402
215,682
216,732
218,93
219,491
223,5019
226,14062
252,29
253,27
258,103
260,5172
