manhattan,freq
4,29526
12,3370
13,94663
24,30797
41,40482
42,19892
43,122715
45,22124
48,325976
50,107407
68,235757
74,41894
75,71849
79,315446
87,78002
88,40766
90,193422
100,207137
103,0
104,0
105,12
107,249317
113,172235
114,144954
116,13273
120,51
125,62608
127,1133
128,66
137,133817
140,174921
141,232048
142,289830
143,112209
144,114037
148,147069
151,88365
152,11258
153,126
158,117423
161,376555
162,344396
163,271292
164,245659
166,55324
170,334631
186,355905
194,502
202,459
209,19873
211,83073
224,30016
229,195016
230,357185
231,190196
232,21068
233,137094
234,340991
236,352330
237,380476
238,189469
239,261270
243,2318
244,12086
246,141880
249,217427
261,55739
262,118231
263,180535
