queens,freq
2,6
7,19641
8,129
9,31
10,1822
15,16
16,36
19,39
27,2
28,580
30,3
38,30
53,76
56,328
57,26
64,18
70,1288
73,28
82,2960
83,1399
86,12
92,483
93,1053
95,1503
96,28
98,45
101,28
102,88
117,12
121,77
122,18
124,140
129,6304
130,757
131,78
132,230382
134,579
135,161
138,243794
139,13
145,14264
146,11809
157,475
160,177
171,64
173,366
175,28
179,7165
180,63
191,54
192,106
193,5727
196,845
197,340
198,469
201,16
203,37
205,33
207,582
215,591
216,617
218,65
219,427
223,6907
226,20775
252,46
253,13
258,149
260,6793
