PULocationID,DOLocationID,Freq,jojo,koko
237,236,52948,Manhattan,Manhattan
236,236,48126,Manhattan,Manhattan
236,237,43540,Manhattan,Manhattan
237,237,41693,Manhattan,Manhattan
239,238,29102,Manhattan,Manhattan
239,142,27138,Manhattan,Manhattan
142,239,26200,Manhattan,Manhattan
79,79,25321,Manhattan,Manhattan
238,239,25018,Manhattan,Manhattan
186,230,23569,Manhattan,Manhattan
237,162,23534,Manhattan,Manhattan
230,186,23110,Manhattan,Manhattan
48,48,22675,Manhattan,Manhattan
186,161,22449,Manhattan,Manhattan
237,161,22055,Manhattan,Manhattan
141,236,21790,Manhattan,Manhattan
161,237,21658,Manhattan,Manhattan
239,239,21577,Manhattan,Manhattan
107,170,21033,Manhattan,Manhattan
234,170,20957,Manhattan,Manhattan
186,170,20375,Manhattan,Manhattan
263,236,19923,Manhattan,Manhattan
237,141,19440,Manhattan,Manhattan
161,161,19204,Manhattan,Manhattan
141,237,19055,Manhattan,Manhattan
186,234,18895,Manhattan,Manhattan
48,68,18816,Manhattan,Manhattan
162,170,18634,Manhattan,Manhattan
79,107,18339,Manhattan,Manhattan
236,141,18027,Manhattan,Manhattan
170,234,17978,Manhattan,Manhattan
236,239,17949,Manhattan,Manhattan
142,238,17643,Manhattan,Manhattan
263,141,17478,Manhattan,Manhattan
141,141,17355,Manhattan,Manhattan
237,140,17015,Manhattan,Manhattan
100,161,16856,Manhattan,Manhattan
170,170,16810,Manhattan,Manhattan
239,236,16756,Manhattan,Manhattan
161,164,16673,Manhattan,Manhattan
262,236,16539,Manhattan,Manhattan
236,263,16453,Manhattan,Manhattan
236,262,16439,Manhattan,Manhattan
230,161,16346,Manhattan,Manhattan
170,161,16307,Manhattan,Manhattan
142,142,16246,Manhattan,Manhattan
161,234,16223,Manhattan,Manhattan
161,236,16180,Manhattan,Manhattan
162,237,16076,Manhattan,Manhattan
142,48,16066,Manhattan,Manhattan
