brooklyn,freq
11,15473
14,81746
17,143192
21,38651
22,47886
25,93383
26,68943
29,27440
33,81065
34,11087
35,75995
36,127149
37,162402
39,110667
40,43679
49,123091
52,23094
54,11538
55,26533
61,245799
62,67589
63,40662
65,78728
66,58595
67,29518
71,62597
72,80427
76,134260
77,38381
80,131418
85,43894
89,127460
91,75387
97,115675
106,37259
108,19906
111,1228
112,133251
123,45022
133,30490
149,35880
150,19859
154,2185
155,48118
165,48132
177,63368
178,18002
181,177407
188,117758
189,64687
190,12293
195,28136
210,45942
217,20721
222,16352
225,142688
227,31672
228,62538
255,173302
256,135670
257,26674
