queens,freq
2,20
7,153678
8,874
9,11290
10,31371
15,8184
16,27253
19,6678
27,253
28,24977
30,353
38,8533
53,16712
56,41645
57,1876
64,7707
70,32529
73,15067
82,103971
83,26881
86,7719
92,77232
93,6185
95,76206
96,2425
98,13608
101,6514
102,28917
117,7928
121,27870
122,10721
124,14503
129,110372
130,68242
131,18305
132,184684
134,25301
135,24704
138,172063
139,13871
145,89542
146,33568
157,33752
160,29687
171,26959
173,33864
175,11078
179,49502
180,18077
191,23154
192,17841
193,14794
196,34267
197,42351
198,86710
201,3471
203,13419
205,34861
207,165
215,28739
216,57126
218,18266
219,16744
223,77048
226,84621
252,14972
253,686
258,35483
260,54522
