staten_island,freq
5,2364
6,4058
23,11525
44,3017
84,4455
99,494
109,6002
110,24
115,5957
118,10044
156,9659
172,4820
176,3030
187,6245
204,2169
206,14982
214,6549
221,9594
245,8060
251,7062
