bronx,freq
3,21273
18,52379
20,33307
31,7422
32,25212
46,1400
47,34920
51,41620
58,2593
59,1572
60,23313
69,64021
78,41066
81,32748
94,20922
119,38878
126,28889
136,31100
147,25683
159,44671
167,42128
168,53261
169,53315
174,40454
182,27450
183,11224
184,2034
185,30935
199,10
200,21233
208,29373
212,25018
213,48737
220,41583
235,52857
240,7791
241,44518
242,40434
247,56428
248,25109
250,23374
254,46884
259,28376
