manhattan,freq
4,25398
12,4320
13,96416
24,31340
41,38282
42,17037
43,145656
45,22175
48,312798
50,98396
68,229610
74,38237
75,68625
79,287540
87,79522
88,40867
90,185223
100,188378
103,0
104,0
105,9
107,236049
113,163428
114,136046
116,12368
120,47
125,60032
127,1033
128,65
137,122976
140,168675
141,226672
142,303388
143,108615
144,113963
148,142364
151,90253
152,10578
153,105
158,120687
161,368938
162,336043
163,265752
164,233639
166,54773
170,314310
186,338138
194,1301
202,454
209,19650
211,82740
224,29362
229,187994
230,321852
231,183482
232,20184
233,130438
234,318738
236,380976
237,420397
238,198159
239,260037
243,2045
244,10901
246,141357
249,209371
261,59193
262,121953
263,176411
