brooklyn,freq
11,53
14,710
17,3032
21,53
22,108
25,10814
26,212
29,61
33,11880
34,371
35,88
36,1889
37,3447
39,157
40,6266
49,4275
52,6348
54,612
55,86
61,2507
62,501
63,67
65,15039
66,4835
67,66
71,86
72,86
76,265
77,43
80,7476
85,243
89,957
91,131
97,10410
106,2001
108,36
111,35
112,7264
123,105
133,496
149,28
150,32
154,16
155,51
165,144
177,252
178,158
181,11672
188,1318
189,3095
190,590
195,942
210,51
217,1054
222,25
225,1152
227,204
228,1374
255,16586
256,13125
257,402
