PULocationID,DOLocationID,Freq,jojo,koko
237,236,61023,Manhattan,Manhattan
236,237,50870,Manhattan,Manhattan
236,236,50471,Manhattan,Manhattan
237,237,46758,Manhattan,Manhattan
239,238,27184,Manhattan,Manhattan
239,142,26982,Manhattan,Manhattan
237,162,26190,Manhattan,Manhattan
237,161,25828,Manhattan,Manhattan
142,239,25147,Manhattan,Manhattan
238,239,23713,Manhattan,Manhattan
161,237,23356,Manhattan,Manhattan
141,236,22751,Manhattan,Manhattan
186,230,21835,Manhattan,Manhattan
186,161,21450,Manhattan,Manhattan
230,186,20203,Manhattan,Manhattan
48,48,20003,Manhattan,Manhattan
79,79,19858,Manhattan,Manhattan
263,236,19847,Manhattan,Manhattan
237,141,19692,Manhattan,Manhattan
107,170,19662,Manhattan,Manhattan
239,239,19321,Manhattan,Manhattan
141,237,19068,Manhattan,Manhattan
234,170,19014,Manhattan,Manhattan
161,161,18728,Manhattan,Manhattan
236,141,18444,Manhattan,Manhattan
142,238,18359,Manhattan,Manhattan
236,239,18234,Manhattan,Manhattan
262,236,17853,Manhattan,Manhattan
162,170,17763,Manhattan,Manhattan
239,236,17345,Manhattan,Manhattan
237,142,17316,Manhattan,Manhattan
48,68,17141,Manhattan,Manhattan
142,237,17109,Manhattan,Manhattan
236,262,17054,Manhattan,Manhattan
236,161,17001,Manhattan,Manhattan
138,230,16973,Queens,Manhattan
237,140,16878,Manhattan,Manhattan
161,236,16868,Manhattan,Manhattan
161,234,16819,Manhattan,Manhattan
170,234,16795,Manhattan,Manhattan
186,234,16684,Manhattan,Manhattan
238,142,16680,Manhattan,Manhattan
186,170,16661,Manhattan,Manhattan
162,237,16644,Manhattan,Manhattan
263,141,16633,Manhattan,Manhattan
236,263,16540,Manhattan,Manhattan
161,164,16479,Manhattan,Manhattan
48,161,16400,Manhattan,Manhattan
141,141,16318,Manhattan,Manhattan
236,75,16213,Manhattan,Manhattan
