manhattan,freq
4,2
12,0
13,6
24,3369
41,61387
42,39432
43,9383
45,3
48,43
50,9
68,15
74,62919
75,54122
79,30
87,10
88,2
90,15
100,16
103,0
104,0
105,0
107,17
113,19
114,14
116,16133
120,139
125,2
127,3764
128,176
137,20
140,44
141,43
142,38
143,7
144,6
148,12
151,5
152,8993
153,502
158,10
161,53
162,24
163,30
164,23
166,46241
170,33
186,25
194,68
202,102
209,5
211,11
224,0
229,41
230,50
231,14
232,0
233,10
234,41
236,2495
237,55
238,17
239,30
243,5949
244,22770
246,6
249,24
261,6
262,43
263,664
