queens,freq
2,2
7,54916
8,22
9,30
10,121
15,13
16,111
19,36
27,0
28,663
30,0
38,16
53,228
56,1710
57,202
64,12
70,1139
73,75
82,46391
83,7091
86,8
92,8194
93,2893
95,26306
96,79
98,33
101,27
102,195
117,20
121,860
122,112
124,36
129,30196
130,13527
131,113
132,170
134,8082
135,345
138,140
139,8
145,16272
146,5571
157,527
160,265
171,115
173,3573
175,23
179,5838
180,93
191,85
192,518
193,2420
196,9557
197,762
198,647
201,3
203,44
205,92
207,169
215,172
216,790
218,59
219,72
223,19703
226,13090
252,56
253,229
258,270
260,22592
