bronx,freq
3,156
18,1136
20,1043
31,548
32,225
46,28
47,911
51,246
58,9
59,25
60,396
69,3299
78,1032
81,144
94,629
119,1386
126,703
136,710
147,547
159,3589
167,1285
168,3247
169,1146
174,1473
182,1632
183,252
184,232
185,633
199,0
200,93
208,397
212,1575
213,553
220,854
235,912
240,78
241,708
242,1904
247,6062
248,486
250,892
254,314
259,71
