queens,freq
2,5
7,15177
8,126
9,36
10,2096
15,24
16,44
19,79
27,8
28,621
30,4
38,25
53,71
56,303
57,35
64,25
70,1401
73,26
82,2462
83,1165
86,13
92,432
93,1209
95,1422
96,47
98,45
101,57
102,65
117,35
121,64
122,22
124,95
129,5384
130,724
131,78
132,225958
134,517
135,166
138,242179
139,25
145,11043
146,9708
157,378
160,145
171,60
173,338
175,25
179,5531
180,79
191,61
192,89
193,4414
196,677
197,349
198,301
201,11
203,43
205,55
207,519
215,643
216,676
218,92
219,518
223,5171
226,14757
252,45
253,27
258,148
260,5461
