queens,freq
2,29
7,129960
8,854
9,10056
10,24316
15,8504
16,23348
19,5820
27,322
28,21604
30,245
38,6463
53,14271
56,34087
57,1689
64,6501
70,29896
73,12581
82,78152
83,22183
86,5771
92,63470
93,6150
95,65904
96,2219
98,11481
101,5946
102,24049
117,5755
121,28609
122,8393
124,11241
129,90902
130,54217
131,16232
132,185335
134,21349
135,21599
138,188691
139,10532
145,83768
146,31828
157,28801
160,23770
171,22138
173,26639
175,9726
179,39798
180,13825
191,17956
192,15829
193,12522
196,26750
197,33729
198,76471
201,2707
203,10336
205,26381
207,208
215,21189
216,44339
218,13981
219,12618
223,67800
226,74502
252,14582
253,524
258,27670
260,46300
