brooklyn,freq
11,12319
14,65397
17,121191
21,30365
22,37107
25,82375
26,52077
29,21358
33,79588
34,12826
35,59927
36,117113
37,148899
39,86029
40,40329
49,111004
52,19917
54,10832
55,21262
61,204209
62,54773
63,30339
65,75697
66,63089
67,19780
71,49780
72,63175
76,98282
77,29316
80,122865
85,34197
89,104973
91,59531
97,102612
106,35476
108,15537
111,1230
112,131084
123,33222
133,24175
149,27938
150,18534
154,1847
155,34601
165,36136
177,48731
178,13490
181,162700
188,95190
189,56683
190,12394
195,29976
210,35451
217,17017
222,11948
225,120053
227,25859
228,58736
255,174635
256,128587
257,23523
