staten_island,freq
5,1836
6,3280
23,10841
44,2299
84,3308
99,431
109,4294
110,43
115,5312
118,7831
156,7737
172,3908
176,2281
187,5392
204,1610
206,16105
214,5496
221,8139
245,6861
251,5566
