PULocationID,DOLocationID,Freq,jojo,koko
61,61,21354,Brooklyn,Brooklyn
76,76,21261,Brooklyn,Brooklyn
39,39,18451,Brooklyn,Brooklyn
129,129,16370,Queens,Queens
26,26,16057,Brooklyn,Brooklyn
181,181,15935,Brooklyn,Brooklyn
7,7,14003,Queens,Queens
14,14,13209,Brooklyn,Brooklyn
37,37,12818,Brooklyn,Brooklyn
36,37,12531,Brooklyn,Brooklyn
161,138,12066,Manhattan,Queens
112,255,12053,Brooklyn,Brooklyn
37,36,11998,Brooklyn,Brooklyn
92,92,11806,Queens,Queens
82,82,11189,Queens,Queens
255,112,11012,Brooklyn,Brooklyn
7,223,10849,Queens,Queens
223,7,10594,Queens,Queens
230,138,10375,Manhattan,Queens
225,61,10216,Brooklyn,Brooklyn
223,223,9964,Queens,Queens
61,225,9952,Brooklyn,Brooklyn
89,89,9816,Brooklyn,Brooklyn
95,95,9636,Queens,Queens
61,188,9616,Brooklyn,Brooklyn
188,61,9569,Brooklyn,Brooklyn
80,255,9312,Brooklyn,Brooklyn
255,80,9288,Brooklyn,Brooklyn
61,17,9251,Brooklyn,Brooklyn
17,61,9198,Brooklyn,Brooklyn
198,198,9046,Queens,Queens
162,138,8874,Manhattan,Queens
112,112,8789,Brooklyn,Brooklyn
256,255,8691,Brooklyn,Brooklyn
234,79,8663,Manhattan,Manhattan
36,36,8570,Brooklyn,Brooklyn
237,236,8436,Manhattan,Manhattan
181,61,8393,Brooklyn,Brooklyn
138,230,8320,Queens,Manhattan
255,256,8307,Brooklyn,Brooklyn
161,234,8293,Manhattan,Manhattan
79,234,8289,Manhattan,Manhattan
42,42,8086,Manhattan,Manhattan
80,112,7889,Brooklyn,Brooklyn
255,37,7831,Brooklyn,Brooklyn
234,68,7769,Manhattan,Manhattan
246,234,7769,Manhattan,Manhattan
234,68,7769,Manhattan,Manhattan
246,234,7769,Manhattan,Manhattan
225,225,7746,Brooklyn,Brooklyn
37,225,7714,Brooklyn,Brooklyn
234,246,7670,Manhattan,Manhattan
