queens,freq
2,24
7,117707
8,1010
9,7878
10,23690
15,6223
16,20323
19,5408
27,1431
28,19002
30,362
38,6422
53,12357
56,31821
57,1847
64,5638
70,26171
73,10541
82,68740
83,18932
86,5468
92,53386
93,14195
95,58730
96,2224
98,10102
101,4879
102,22427
117,6995
121,18524
122,7912
124,10214
129,83110
130,48738
131,13505
132,185366
134,19994
135,17682
138,167010
139,11000
145,79515
146,29409
157,25623
160,21724
171,19537
173,24487
175,7230
179,38443
180,12451
191,17286
192,13757
193,11265
196,24017
197,30953
198,65811
201,4966
203,10599
205,25988
207,201
215,20588
216,40409
218,13528
219,12224
223,63448
226,64639
252,11130
253,3267
258,24592
260,40896
