brooklyn,freq
11,10960
14,57442
17,111819
21,26776
22,31961
25,71887
26,42487
29,19457
33,69835
34,11413
35,54703
36,101289
37,131765
39,79919
40,33828
49,92393
52,15886
54,9157
55,25006
61,187237
62,48605
63,27472
65,68273
66,56429
67,17117
71,47750
72,58666
76,90231
77,26629
80,105764
85,30976
89,89993
91,55886
97,87690
106,28461
108,13756
111,948
112,112615
123,25524
133,20763
149,23355
150,15216
154,1799
155,32265
165,30131
177,44540
178,10738
181,132129
188,88013
189,47591
190,11467
195,28747
210,31845
217,14207
222,11106
225,109817
227,22447
228,47711
255,152937
256,113033
257,20581
