PULocationID,DOLocationID,Freq,jojo,koko
7,7,15174,Queens,Queens
75,74,10333,Manhattan,Manhattan
41,42,10181,Manhattan,Manhattan
129,129,8826,Queens,Queens
181,181,8707,Brooklyn,Brooklyn
82,82,8357,Queens,Queens
95,95,8295,Queens,Queens
82,129,8166,Queens,Queens
74,75,7895,Manhattan,Manhattan
42,42,7836,Manhattan,Manhattan
41,74,7541,Manhattan,Manhattan
41,41,7489,Manhattan,Manhattan
7,223,7285,Queens,Queens
255,112,7190,Brooklyn,Brooklyn
74,74,6812,Manhattan,Manhattan
74,41,6572,Manhattan,Manhattan
223,223,6241,Queens,Queens
42,41,5876,Manhattan,Manhattan
75,75,5862,Manhattan,Manhattan
166,166,5632,Manhattan,Manhattan
7,179,5334,Queens,Queens
74,42,5121,Manhattan,Manhattan
255,256,4394,Brooklyn,Brooklyn
41,166,4295,Manhattan,Manhattan
75,236,3944,Manhattan,Manhattan
97,97,3759,Brooklyn,Brooklyn
145,145,3730,Queens,Queens
75,41,3661,Manhattan,Manhattan
74,236,3601,Manhattan,Manhattan
244,244,3585,Manhattan,Manhattan
223,7,3568,Queens,Queens
166,238,3512,Manhattan,Manhattan
166,41,3507,Manhattan,Manhattan
42,74,3380,Manhattan,Manhattan
74,166,3357,Manhattan,Manhattan
97,49,3352,Brooklyn,Brooklyn
82,56,3335,Queens,Queens
41,75,3150,Manhattan,Manhattan
7,129,3127,Queens,Queens
7,226,3089,Queens,Queens
74,263,3082,Manhattan,Manhattan
25,181,3018,Brooklyn,Brooklyn
129,82,2990,Queens,Queens
166,74,2861,Manhattan,Manhattan
255,255,2825,Brooklyn,Brooklyn
7,146,2722,Queens,Queens
260,7,2706,Queens,Queens
75,263,2660,Manhattan,Manhattan
166,42,2657,Manhattan,Manhattan
61,61,2631,Brooklyn,Brooklyn
