queens,freq
2,1
7,55205
8,29
9,31
10,146
15,20
16,128
19,39
27,2
28,672
30,0
38,14
53,201
56,1789
57,139
64,23
70,1188
73,69
82,47529
83,7533
86,3
92,8103
93,2373
95,27484
96,51
98,35
101,24
102,190
117,33
121,817
122,97
124,55
129,29972
130,14279
131,163
132,228
134,8765
135,378
138,177
139,17
145,16439
146,6456
157,525
160,246
171,116
173,3254
175,18
179,6108
180,95
191,130
192,594
193,2759
196,9581
197,681
198,536
201,7
203,64
205,75
207,273
215,149
216,756
218,63
219,81
223,19470
226,12626
252,58
253,210
258,281
260,22221
