brooklyn,freq
11,46
14,949
17,12558
21,86
22,126
25,26873
26,349
29,305
33,27909
34,839
35,708
36,4231
37,3881
39,309
40,9049
49,17174
52,10997
54,642
55,1787
61,12736
62,1726
63,137
65,20699
66,23262
67,71
71,309
72,297
76,1086
77,229
80,9896
85,915
89,2126
91,315
97,32334
106,3775
108,105
111,78
112,16661
123,148
133,360
149,308
150,91
154,12
155,103
165,172
177,1188
178,58
181,34235
188,3527
189,4907
190,1468
195,1792
210,3500
217,1072
222,38
225,4318
227,252
228,2159
255,40960
256,18139
257,634
