PULocationID,DOLocationID,Freq,jojo,koko
7,7,16460,Queens,Queens
181,181,10684,Brooklyn,Brooklyn
41,42,10311,Manhattan,Manhattan
75,74,10253,Manhattan,Manhattan
129,129,9202,Queens,Queens
255,112,8870,Brooklyn,Brooklyn
42,42,8675,Manhattan,Manhattan
95,95,8364,Queens,Queens
82,129,8264,Queens,Queens
41,41,7927,Manhattan,Manhattan
223,223,7913,Queens,Queens
41,74,7906,Manhattan,Manhattan
74,75,7730,Manhattan,Manhattan
74,74,7435,Manhattan,Manhattan
82,82,7084,Queens,Queens
7,223,7003,Queens,Queens
74,41,6767,Manhattan,Manhattan
75,75,6066,Manhattan,Manhattan
7,179,5927,Queens,Queens
42,41,5910,Manhattan,Manhattan
255,256,5482,Brooklyn,Brooklyn
74,42,5341,Manhattan,Manhattan
166,166,4829,Manhattan,Manhattan
75,236,4458,Manhattan,Manhattan
41,166,4215,Manhattan,Manhattan
97,97,4201,Brooklyn,Brooklyn
223,7,3971,Queens,Queens
244,244,3927,Manhattan,Manhattan
145,145,3882,Queens,Queens
97,49,3799,Brooklyn,Brooklyn
25,181,3790,Brooklyn,Brooklyn
75,41,3748,Manhattan,Manhattan
255,255,3670,Brooklyn,Brooklyn
82,56,3646,Queens,Queens
42,74,3559,Manhattan,Manhattan
74,236,3369,Manhattan,Manhattan
61,61,3345,Brooklyn,Brooklyn
7,226,3276,Queens,Queens
166,41,3270,Manhattan,Manhattan
41,75,3147,Manhattan,Manhattan
74,166,3118,Manhattan,Manhattan
166,238,3067,Manhattan,Manhattan
75,263,3063,Manhattan,Manhattan
129,82,2983,Queens,Queens
255,80,2970,Brooklyn,Brooklyn
75,238,2933,Manhattan,Manhattan
260,260,2928,Queens,Queens
74,263,2904,Manhattan,Manhattan
112,112,2844,Brooklyn,Brooklyn
260,129,2800,Queens,Queens
7,7,16460,Queens,Queens
181,181,10684,Brooklyn,Brooklyn
41,42,10311,Manhattan,Manhattan
75,74,10253,Manhattan,Manhattan
129,129,9202,Queens,Queens
255,112,8870,Brooklyn,Brooklyn
42,42,8675,Manhattan,Manhattan
95,95,8364,Queens,Queens
82,129,8264,Queens,Queens
41,41,7927,Manhattan,Manhattan
223,223,7913,Queens,Queens
41,74,7906,Manhattan,Manhattan
74,75,7730,Manhattan,Manhattan
74,74,7435,Manhattan,Manhattan
82,82,7084,Queens,Queens
7,223,7003,Queens,Queens
74,41,6767,Manhattan,Manhattan
75,75,6066,Manhattan,Manhattan
7,179,5927,Queens,Queens
42,41,5910,Manhattan,Manhattan
255,256,5482,Brooklyn,Brooklyn
74,42,5341,Manhattan,Manhattan
166,166,4829,Manhattan,Manhattan
75,236,4458,Manhattan,Manhattan
41,166,4215,Manhattan,Manhattan
97,97,4201,Brooklyn,Brooklyn
223,7,3971,Queens,Queens
244,244,3927,Manhattan,Manhattan
145,145,3882,Queens,Queens
97,49,3799,Brooklyn,Brooklyn
25,181,3790,Brooklyn,Brooklyn
75,41,3748,Manhattan,Manhattan
255,255,3670,Brooklyn,Brooklyn
82,56,3646,Queens,Queens
42,74,3559,Manhattan,Manhattan
74,236,3369,Manhattan,Manhattan
61,61,3345,Brooklyn,Brooklyn
7,226,3276,Queens,Queens
166,41,3270,Manhattan,Manhattan
41,75,3147,Manhattan,Manhattan
74,166,3118,Manhattan,Manhattan
166,238,3067,Manhattan,Manhattan
75,263,3063,Manhattan,Manhattan
129,82,2983,Queens,Queens
255,80,2970,Brooklyn,Brooklyn
75,238,2933,Manhattan,Manhattan
260,260,2928,Queens,Queens
74,263,2904,Manhattan,Manhattan
112,112,2844,Brooklyn,Brooklyn
260,129,2800,Queens,Queens
