brooklyn,freq
11,43
14,969
17,13757
21,82
22,82
25,28655
26,227
29,320
33,26967
34,645
35,1022
36,5163
37,4656
39,507
40,9689
49,17202
52,11912
54,563
55,787
61,14175
62,1793
63,150
65,20886
66,21719
67,47
71,469
72,508
76,1323
77,328
80,9303
85,1045
89,2274
91,469
97,35359
106,4175
108,92
111,51
112,17143
123,162
133,364
149,389
150,63
154,18
155,114
165,149
177,1379
178,48
181,41566
188,3733
189,5826
190,924
195,946
210,3725
217,1151
222,54
225,5353
227,243
228,2253
255,45113
256,17351
257,551
