PULocationID,DOLocationID,Freq,jojo,koko
7,7,14776,Queens,Queens
41,42,10273,Manhattan,Manhattan
75,74,9671,Manhattan,Manhattan
181,181,8788,Brooklyn,Brooklyn
129,129,8399,Queens,Queens
42,42,8039,Manhattan,Manhattan
82,82,7924,Queens,Queens
95,95,7850,Queens,Queens
255,112,7825,Brooklyn,Brooklyn
41,74,7588,Manhattan,Manhattan
41,41,7553,Manhattan,Manhattan
74,75,7517,Manhattan,Manhattan
82,129,7321,Queens,Queens
74,74,7033,Manhattan,Manhattan
74,41,6714,Manhattan,Manhattan
223,223,6634,Queens,Queens
7,223,6593,Queens,Queens
42,41,5913,Manhattan,Manhattan
75,75,5826,Manhattan,Manhattan
7,179,5379,Queens,Queens
166,166,5103,Manhattan,Manhattan
74,42,5043,Manhattan,Manhattan
255,256,4909,Brooklyn,Brooklyn
41,166,4236,Manhattan,Manhattan
97,97,4002,Brooklyn,Brooklyn
75,41,3658,Manhattan,Manhattan
244,244,3579,Manhattan,Manhattan
75,236,3569,Manhattan,Manhattan
223,7,3550,Queens,Queens
145,145,3481,Queens,Queens
42,74,3423,Manhattan,Manhattan
166,238,3405,Manhattan,Manhattan
166,41,3397,Manhattan,Manhattan
74,166,3330,Manhattan,Manhattan
61,61,3323,Brooklyn,Brooklyn
97,49,3319,Brooklyn,Brooklyn
255,255,3284,Brooklyn,Brooklyn
82,56,3272,Queens,Queens
41,75,3136,Manhattan,Manhattan
129,82,3025,Queens,Queens
74,236,2971,Manhattan,Manhattan
25,181,2966,Brooklyn,Brooklyn
7,226,2959,Queens,Queens
255,80,2883,Brooklyn,Brooklyn
166,74,2819,Manhattan,Manhattan
7,129,2741,Queens,Queens
74,263,2731,Manhattan,Manhattan
112,112,2695,Brooklyn,Brooklyn
42,116,2672,Manhattan,Manhattan
260,129,2599,Queens,Queens
