brooklyn,freq
11,39
14,762
17,13361
21,60
22,73
25,26320
26,181
29,336
33,23944
34,658
35,911
36,5169
37,4383
39,321
40,8789
49,16732
52,10942
54,516
55,1514
61,13874
62,1724
63,149
65,19614
66,21237
67,34
71,442
72,447
76,1164
77,310
80,8699
85,1000
89,2175
91,425
97,34647
106,3816
108,75
111,42
112,16834
123,128
133,372
149,406
150,58
154,16
155,95
165,136
177,1366
178,49
181,36213
188,3392
189,5614
190,939
195,826
210,3329
217,1047
222,43
225,5342
227,211
228,1650
255,42146
256,16988
257,530
