queens,freq
2,0
7,52447
8,24
9,22
10,116
15,17
16,130
19,11
27,0
28,558
30,2
38,10
53,195
56,1673
57,95
64,7
70,1028
73,76
82,43471
83,6952
86,13
92,7152
93,202
95,25630
96,52
98,46
101,27
102,157
117,16
121,694
122,90
124,33
129,28163
130,12193
131,116
132,136
134,8097
135,362
138,161
139,17
145,15321
146,5155
157,523
160,201
171,78
173,3090
175,10
179,5544
180,68
191,115
192,346
193,2439
196,8802
197,690
198,513
201,3
203,53
205,59
207,218
215,144
216,591
218,34
219,45
223,18327
226,12425
252,44
253,17
258,223
260,21575
