Datas_of_area_pull_fhv_02,Freq
0,18621
1,790
2,27
3,11183
4,52146
5,1111
6,2056
7,84758
8,240
9,5975
10,15135
11,7605
12,1207
13,72389
14,41085
15,4324
16,15075
17,81562
18,19901
19,4455
20,14233
21,19528
22,23642
23,6041
24,19665
25,51251
26,36684
27,95
28,13380
29,12722
30,111
31,1447
32,11292
33,48242
34,7213
35,39456
36,76665
37,97868
38,5217
39,50517
40,26709
41,59562
42,62458
43,19569
44,1181
45,29977
46,874
47,12892
48,145160
49,67690
50,82908
51,16972
52,16646
53,7281
54,7318
55,11738
56,18326
57,1368
58,1310
59,543
60,8296
61,129450
62,36565
63,17585
64,4033
65,48223
66,35589
67,11926
68,145457
69,23238
70,17816
71,31386
72,38859
73,7492
74,52056
75,52449
76,57109
77,17863
78,16013
79,219313
80,79023
81,19982
82,43867
83,12612
84,1565
85,21011
86,2773
87,79495
88,29927
89,67155
90,99989
91,37149
92,32066
93,1806
94,8885
95,42648
96,653
97,61969
98,6970
99,169
100,84969
101,3204
102,17965
105,2
106,24721
107,125294
108,9361
109,2521
110,5
111,286
112,91427
113,105611
114,102569
115,2793
116,38710
117,3310
118,4210
119,14049
120,501
121,18901
122,5160
123,26632
124,6649
125,55568
126,10468
127,25104
128,1549
129,56999
130,31381
131,10303
132,146404
133,15775
134,13027
135,14494
136,12859
137,83519
138,152503
139,7889
140,85758
141,99966
142,105610
143,72552
144,118654
145,50198
146,18437
147,8269
148,146120
149,17505
150,8674
151,41982
152,19569
153,5035
154,571
155,20142
156,4931
157,18112
158,100228
159,16270
160,14612
161,179583
162,130564
163,119803
164,135061
165,26309
166,61801
167,14782
168,22112
169,19676
170,154148
171,13809
172,2433
173,17085
174,17516
175,6371
176,1182
177,29611
178,10242
179,27527
180,8308
181,108725
182,10181
183,5319
184,383
185,14605
186,101577
187,3723
188,58349
189,39978
190,4878
191,12592
192,8281
193,6826
194,408
195,17345
196,15992
197,21083
198,46888
199,6
200,15029
201,1251
202,4583
203,7870
204,826
205,17358
206,6619
207,198
208,12076
209,27400
210,21539
211,88638
212,9199
213,17081
214,3125
215,14285
216,26353
217,9621
218,9670
219,8628
220,21709
221,3993
222,7594
223,45897
224,41208
225,72756
226,48942
227,14454
228,32413
229,94173
230,153252
231,171357
232,56192
233,76062
234,185664
235,21957
236,112223
237,118190
238,86832
239,106642
240,2398
241,19682
242,16932
243,42362
244,59173
245,3963
246,128675
247,20404
248,9894
249,133570
250,9672
251,3140
252,7993
253,217
254,24106
255,125353
256,97606
257,17481
258,16544
259,13218
260,28901
261,41220
262,62520
263,76183
264,301
265,27833
