Datas_of_area_pull_green_02,Freq
1,18
3,151
5,1
6,9
7,52512
8,24
9,22
10,116
11,39
12,1
13,9
14,763
15,17
16,135
17,13369
18,1153
19,13
20,969
21,61
22,73
23,27
24,3052
25,26349
26,181
28,564
29,338
30,2
31,222
32,210
33,23966
34,661
35,913
36,5176
37,4386
38,11
39,325
40,8803
41,58729
42,37560
43,9469
45,1
46,17
47,985
48,56
49,16744
50,8
51,248
52,10949
53,195
54,520
55,1519
56,1675
57,96
58,7
59,30
60,425
61,13896
62,1726
63,149
64,8
65,19650
66,21261
67,34
68,11
69,3193
70,1033
71,445
72,450
73,76
74,59216
75,52434
76,1168
77,310
78,1125
79,22
80,8712
81,86
82,43524
83,6963
85,1005
86,13
87,6
88,1
89,2178
90,15
91,427
92,7192
93,206
94,621
95,25696
96,52
97,34695
98,48
100,14
101,30
102,157
106,3819
107,23
108,76
109,2
111,42
112,16858
113,15
114,17
115,14
116,16507
117,16
118,9
119,1090
120,176
121,705
122,91
123,128
124,35
125,6
126,663
127,4097
128,182
129,28206
130,12417
131,126
132,138
133,375
134,8132
135,367
136,769
137,15
138,161
139,17
140,25
141,31
142,30
143,6
144,10
145,15354
146,5159
147,541
148,7
149,407
150,59
151,7
152,9188
153,569
154,16
155,96
156,4
157,525
158,15
159,4080
160,203
161,52
162,40
163,31
164,31
165,137
166,43344
167,1395
168,3229
169,1240
170,28
171,78
172,1
173,3094
174,1611
175,10
176,1
177,1367
178,49
179,5546
180,68
181,36255
182,1598
183,167
184,159
185,590
186,23
187,3
188,3395
189,5619
190,941
191,122
192,348
193,2447
194,23
195,827
196,8815
197,694
198,513
200,109
201,3
202,92
203,53
204,1
205,63
206,42
207,222
208,335
209,5
210,3332
211,13
212,1628
213,557
214,8
215,145
216,597
217,1049
218,34
219,48
220,1093
221,18
222,45
223,18346
224,2
225,5350
226,12442
227,211
228,1654
229,44
230,55
231,20
232,1
233,10
234,34
235,973
236,2222
237,40
238,17
239,38
240,76
241,737
242,1817
243,6682
244,24847
245,6
246,13
247,5013
248,593
249,25
250,776
251,8
252,45
253,18
254,315
255,42216
256,17020
257,530
258,227
259,66
260,21613
261,10
262,56
263,569
264,1481
265,314
